index	modelNormRad	normRad	modelRad	rad	
15837	0.598668594917	0.497687014364	215.425421693	269.630000	
15838	0.567859261104	0.619293086901	224.273225027	197.580000	
15839	0.56036468964	0.590500586994	220.311822615	205.210000	
15840	0.556123860696	0.607187596944	214.518293286	189.840000	
15841	0.56795459462	0.681435695961	200.870732155	148.110000	
15842	0.587897993865	0.518987118422	183.84740385	214.590000	
15843	0.608708468569	0.434415986197	167.175314979	241.640000	
15844	0.637836449025	0.686432149274	147.779264488	127.950000	
15845	0.639254264852	0.672609202269	140.236408691	127.270000	
15846	0.562920387241	0.673565986711	161.343766867	120.500000	
15847	0.602724584018	0.688277699868	138.749696507	108.870000	
15848	0.637127802917	0.623747088067	119.464800476	123.870000	
15849	0.625526584107	0.726810338894	115.732017002	84.430000	
15850	0.68655249999	0.545778674113	90.4690398917	131.100000	
15851	0.560311740016	0.687108526627	117.843599523	83.860000	
15852	0.55395314321	0.675721726039	110.24684181	80.150000	
15853	0.645769471478	0.738254573991	80.3071896344	59.340000	
15854	0.655695801459	0.678346824271	70.6477623053	66.000000	
15855	0.613403950698	0.603204245136	71.1137790479	72.990000	
15856	0.673365116694	0.549498190764	53.1024257014	73.240000	
15857	0.616296460962	0.654124720257	54.159426455	48.820000	
15858	0.66661219148	0.588927124982	39.8291307246	49.110000	
15859	0.641641024431	0.433784953086	35.0058428273	55.310000	
15860	0.595014752528	0.416315241902	30.7302809636	44.290000	
15861	0.614991422707	0.476399243977	20.8166101706	28.310000	
15862	0.579545448992	0.356003109842	13.501618172	20.680000	
15863	0.614390374634	0.0	3.86455013805	15.830000	
15864	0.626620837814	0.0	0.0	10.910000	
15865	0.609838868548	0.0	0.0	7.290000	
16017	0.570509036156	0.845259559298	8.90953901697	3.210000	
16018	0.643046395777	0.853900616717	15.2701536192	6.250000	
16019	0.563164481826	0.82094770953	28.2518323959	11.580000	
16020	0.584763911072	0.766717830207	35.8842665096	20.160000	
16021	0.562995337108	0.792416998034	47.2618402711	22.450000	
16022	0.597673598566	0.85259003269	52.1569719587	19.110000	
16023	0.638752849885	0.848393419582	54.6851071522	22.950000	
16024	0.60987382601	0.828039000395	67.3800884743	29.700000	
16025	0.639104623483	0.843601467184	70.0106677882	30.340000	
16026	0.593831470887	0.885231326183	87.2368208991	24.650000	
16027	0.573662065547	0.901308873457	100.697373717	23.310000	
16028	0.551344143858	0.891264510445	115.283838533	27.940000	
16029	0.502437602161	0.750159701524	138.131951189	69.360000	
16030	0.637127835279	0.5945353792	108.17308416	120.870000	
16031	0.536493165581	0.783730760447	147.580306307	68.860000	
16032	0.608131750963	0.582657018318	132.646839581	141.270000	
16033	0.522838722892	0.645172336684	170.947047869	127.120000	
16034	0.534591741578	0.738933952383	175.954688576	98.700000	
16035	0.551483869956	0.608554053625	178.262516596	155.580000	
16036	0.529121135603	0.588538642207	196.048199259	171.310000	
16037	0.512179298942	0.599248224409	212.388219105	174.480000	
16038	0.527096522396	0.441078426137	214.89244799	253.980000	
16039	0.516102921901	0.533984610435	228.84668496	220.390000	
16040	0.461988404653	0.773996030996	264.025743897	110.910000	
16041	0.697920105031	0.626781410047	153.76007303	189.970000	
16042	0.474640051938	0.668735498926	276.632526104	174.430000	
16043	0.597819324281	0.616653846669	218.712525843	208.470000	
16044	0.504279953331	0.465059222268	278.069499646	300.070000	
16045	0.539712467368	0.634649392245	265.879072936	211.040000	
16046	0.500123351065	0.625343882056	296.905736647	222.530000	
16047	0.498768449228	0.303710907844	305.753876189	424.740000	
16048	0.534600299253	0.507165347468	291.232093711	308.400000	
16049	0.501056776141	0.648325746213	319.889009424	225.470000	
16050	0.467270554077	0.716337941854	349.522519257	186.110000	
16051	0.456581475558	0.651879646544	364.526499436	233.520000	
16052	0.530529100856	0.385294570697	321.630931389	421.130000	
16053	0.612766845682	0.597132411187	270.662090851	281.590000	
16054	0.459900413901	0.565742786387	384.823113345	309.410000	
16055	0.436523582656	0.68027658625	408.891429172	232.010000	
16056	0.474220537494	0.336987911708	388.268761887	489.610000	
16057	0.484774549461	0.570650170921	386.82424618	322.350000	
16058	0.488328157955	0.641493585392	390.276601774	273.450000	
16059	0.431559869717	0.60409404402	440.143219131	306.550000	
16060	0.47287672361	0.669524330493	414.041554979	259.580000	
16061	0.505765033761	0.657476133135	393.470195748	272.690000	
16062	0.486379152217	0.44884152227	414.207897814	444.480000	
16063	0.445698298359	0.673518162562	452.481362098	266.510000	
16064	0.507470925095	0.794845203039	406.714109616	169.410000	
16065	0.480547337486	0.752274070924	433.61474708	206.790000	
16066	0.470868788569	0.544628913645	446.199574979	384.000000	
16067	0.450031199004	0.430385347385	468.224208803	484.950000	
16068	0.499827991326	0.626349067864	429.652908147	320.970000	
16069	0.464473189644	0.757815872947	463.873564479	209.780000	
16070	0.417881345553	0.576748276061	508.150037186	369.470000	
16071	0.344048472942	0.362743465378	576.72704967	560.290000	
16072	0.414602118056	0.0731342026313	518.092137958	820.300000	
16073	0.320920634219	0.153905689475	604.626283689	753.330000	
16074	0.290366942187	0.203234174075	635.250360917	713.250000	
16075	0.334628786488	0.0699723218288	598.573023753	836.660000	
16076	0.321581798687	0.0	612.978491042	979.190000	
16077	0.410179408442	0.0	534.951360249	1002.540000	
